path,extension,bytes,category,usage_role
LancsBox/corpora/Climate_Change/HES_2011-09-18000941.txt,.txt,5128,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000942.txt,.txt,550,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-09000904.txt,.txt,2172,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-09000905.txt,.txt,4159,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-09000906.txt,.txt,1515,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-09000907.txt,.txt,1978,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-16000902.txt,.txt,629,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-16000903.txt,.txt,3512,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-23000901.txt,.txt,747,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-30000896.txt,.txt,7467,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-30000897.txt,.txt,3576,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-10-30000898.txt,.txt,6347,auxiliary-validation,reference-corpora
